km	kg/m3	Pa	K	kg/mol
640.0000000000000000000	0.0000000000000684360	0.0000000555180000000	999.9140000000000000000	0.0100780000000000000
650.0000000000000000000	0.0000000000000571200	0.0000000488650000000	999.9300000000000000000	0.0097200000000000000
660.0000000000000000000	0.0000000000000518360	0.0000000454736000000	999.9380000000000000000	0.0093760000000000000
670.0000000000000000000	0.0000000000000465520	0.0000000420822000000	999.9460000000000000000	0.0090320000000000000
680.0000000000000000000	0.0000000000000412680	0.0000000386908000000	999.9540000000000000000	0.0086880000000000000
690.0000000000000000000	0.0000000000000359840	0.0000000352994000000	999.9620000000000000000	0.0083440000000000000
700.0000000000000000000	0.0000000000000307000	0.0000000319080000000	999.9700000000000000000	0.0080000000000000000
710.0000000000000000000	0.0000000000000281360	0.0000000300462000000	999.9740000000000000000	0.0077160000000000000
720.0000000000000000000	0.0000000000000255720	0.0000000281844000000	999.9780000000000000000	0.0074320000000000000
730.0000000000000000000	0.0000000000000230080	0.0000000263226000000	999.9820000000000000000	0.0071480000000000000
740.0000000000000000000	0.0000000000000204440	0.0000000244608000000	999.9860000000000000000	0.0068640000000000000
750.0000000000000000000	0.0000000000000178800	0.0000000225990000000	999.9900000000000000000	0.0065800000000000000
760.0000000000000000000	0.0000000000000165760	0.0000000214864000000	999.9900000000000000000	0.0063720000000000000
770.0000000000000000000	0.0000000000000152720	0.0000000203738000000	999.9900000000000000000	0.0061640000000000000
780.0000000000000000000	0.0000000000000139680	0.0000000192612000000	999.9900000000000000000	0.0059560000000000000
790.0000000000000000000	0.0000000000000126640	0.0000000181486000000	999.9900000000000000000	0.0057480000000000000
800.0000000000000000000	0.0000000000000113600	0.0000000170360000000	999.9900000000000000000	0.0055400000000000000
810.0000000000000000000	0.0000000000000106528	0.0000000163118000000	999.9920000000000000000	0.0054020000000000000
820.0000000000000000000	0.0000000000000099456	0.0000000155876000000	999.9940000000000000000	0.0052640000000000000
830.0000000000000000000	0.0000000000000092384	0.0000000148634000000	999.9960000000000000000	0.0051260000000000000
840.0000000000000000000	0.0000000000000085312	0.0000000141392000000	999.9980000000000000000	0.0049880000000000000
850.0000000000000000000	0.0000000000000078240	0.0000000134150000000	1000.0000000000000000000	0.0048500000000000000
860.0000000000000000000	0.0000000000000074110	0.0000000129066000000	1000.0000000000000000000	0.0047600000000000000
